customer_id,recency,frequency,monetary,total_quantity,category_diversity,avg_order_value,segment,segment_description
1,2,21,1393.88,21,6,66.3752380952381,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
2,94,2,43.959999999999994,2,2,21.979999999999997,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
3,42,6,1083.49,9,4,180.58166666666668,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
4,60,3,562.08,4,3,187.36,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
5,7,10,591.14,10,4,59.114,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
6,1,18,1047.1299999999999,20,6,58.17388888888888,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
7,2,40,5249.67,57,6,131.24175,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
9,11,6,536.2,8,3,89.36666666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
10,131,2,145.17000000000002,2,1,72.58500000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
11,1,55,5305.95,82,6,96.47181818181818,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
12,298,1,36.76,1,1,36.76,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
13,29,1,26.47,1,1,26.47,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
14,0,12,1659.73,14,6,138.31083333333333,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
15,15,7,481.35,8,4,68.76428571428572,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
16,2,9,1316.7,10,5,146.3,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
17,1,17,1022.6999999999999,19,5,60.15882352941176,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
19,98,4,202.97,4,4,50.7425,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
20,0,8,456.67,9,3,57.08375,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
21,20,5,749.9,6,4,149.98,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
22,2,11,450.40000000000003,13,5,40.945454545454545,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
23,2,17,1504.26,19,6,88.48588235294118,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
24,3,16,1029.55,19,5,64.346875,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
25,87,1,555.59,1,1,555.59,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
26,158,3,282.65,4,3,94.21666666666665,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
27,0,13,831.14,13,4,63.933846153846154,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
28,152,2,543.04,3,2,271.52,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
30,0,40,3633.7200000000003,56,6,90.843,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
31,102,3,72.16,3,2,24.05333333333333,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
32,4,17,1567.29,18,6,92.1935294117647,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
33,3,51,6618.58,79,6,129.77607843137255,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
35,219,2,119.75999999999999,2,2,59.879999999999995,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
36,302,1,164.32,2,1,164.32,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
37,1,18,1661.4,23,4,92.30000000000001,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
38,0,35,2884.21,49,6,82.406,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
39,197,2,104.02,2,2,52.01,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
40,153,3,80.3,3,3,26.766666666666666,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
41,14,8,626.05,8,5,78.25625,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
42,62,5,450.17,5,5,90.034,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
43,5,37,4081.34,57,6,110.30648648648649,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
44,291,1,40.51,1,1,40.51,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
45,5,8,464.18,9,5,58.0225,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
46,51,4,259.15,4,3,64.7875,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
47,0,13,1127.25,16,6,86.71153846153847,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
48,274,3,291.31,3,2,97.10333333333334,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
49,33,7,868.7299999999999,9,5,124.1042857142857,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
50,7,4,170.78,5,4,42.695,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
52,3,5,330.14,6,3,66.02799999999999,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
55,207,2,61.09,2,2,30.545,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
57,0,37,3168.27,51,6,85.62891891891891,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
58,1,12,623.23,13,4,51.935833333333335,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
59,0,26,2493.89,39,5,95.91884615384615,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
60,8,5,379.05,5,4,75.81,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
61,2,22,2328.5,25,6,105.8409090909091,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
62,5,21,2822.0,22,6,134.38095238095238,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
